host_description,Expected_Personal_Charisma,approach1_Personal_Charisma,approach1_Personal_Charisma_Precision,approach1_Personal_Charisma_Recall,approach1_Personal_Charisma_F1,approach2_Personal_Charisma,approach2_Personal_Charisma_Precision,approach2_Personal_Charisma_Recall,approach2_Personal_Charisma_F1,approach3_Personal_Charisma,approach3_Personal_Charisma_Precision,approach3_Personal_Charisma_Recall,approach3_Personal_Charisma_F1,Expected_Friendly_Attitudes,approach1_Friendly_Attitudes,approach1_Friendly_Attitudes_Precision,approach1_Friendly_Attitudes_Recall,approach1_Friendly_Attitudes_F1,approach2_Friendly_Attitudes,approach2_Friendly_Attitudes_Precision,approach2_Friendly_Attitudes_Recall,approach2_Friendly_Attitudes_F1,approach3_Friendly_Attitudes,approach3_Friendly_Attitudes_Precision,approach3_Friendly_Attitudes_Recall,approach3_Friendly_Attitudes_F1,Expected_Service_Assistance,approach1_Service_Assistance,approach1_Service_Assistance_Precision,approach1_Service_Assistance_Recall,approach1_Service_Assistance_F1,approach2_Service_Assistance,approach2_Service_Assistance_Precision,approach2_Service_Assistance_Recall,approach2_Service_Assistance_F1,approach3_Service_Assistance,approach3_Service_Assistance_Precision,approach3_Service_Assistance_Recall,approach3_Service_Assistance_F1,Expected_Socialisation_Sharing,approach1_Socialisation_Sharing,approach1_Socialisation_Sharing_Precision,approach1_Socialisation_Sharing_Recall,approach1_Socialisation_Sharing_F1,approach2_Socialisation_Sharing,approach2_Socialisation_Sharing_Precision,approach2_Socialisation_Sharing_Recall,approach2_Socialisation_Sharing_F1,approach3_Socialisation_Sharing,approach3_Socialisation_Sharing_Precision,approach3_Socialisation_Sharing_Recall,approach3_Socialisation_Sharing_F1
"""I have been a New Yorker for a long time and Love this city ! I am an author and  health and fitness expert  and do personal training as well as health consultations and lectures. I have many interests from music to art and literature. I know  my  city very well and  am happy to make suggestions and recommendations so my guests will fully enjoy their New York Experience. I guarantee you will thoroughly enjoy your stay here !""","""love this city"", ""author and health and fitness expert"", ""personal training"", ""health consultations and lectures"", ""many interests from music to art and literature""","""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""",0.75,0.63,0.69,"""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""",0.75,0.63,0.69,"""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""",0.75,0.63,0.69,"""guarantee you will thoroughly enjoy your stay""","""am happy to make suggestions and recommendations"", ""I guarantee you will thoroughly enjoy your stay here""",0.44,1.00,0.61,"""I am happy to make suggestions and recommendations"", ""I guarantee you will thoroughly enjoy your stay here!""",0.44,1.00,0.61,"""happy to make suggestions and recommendations"", ""guarantee you will thoroughly enjoy your stay here""",0.50,1.00,0.67,"""happy to make suggestions and recommendations""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""A New Yorker since 2000! My passion is creating beautiful, unique spaces where unforgettable memories are made. It's my pleasure to host people from around the world and meet new faces. Welcome travelers!
I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher. I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments.
Any questions, please text or call Jennifer at 646.498.8710.""","""passion for creating beautiful, unique spaces"", ""Sound Therapy Practitioner"", ""Kundalini Yoga & Meditation teacher"", ""work with energy and sound for relaxation and healing""","""My passion is creating beautiful, unique spaces"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",0.63,0.60,0.62,"""My passion is creating beautiful, unique spaces where unforgettable memories are made"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",0.46,0.55,0.50,"""My passion is creating beautiful, unique spaces"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",0.63,0.60,0.62,"""pleasure to host people from around the world"", ""welcome travelers""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""any questions, please text or call""","""Any questions, please text or call Jennifer at 646.498.8710""",0.67,1.00,0.80,"""Any questions, please text or call Jennifer at 646.498.8710""",0.67,1.00,0.80,"""Any questions, please text or call Jennifer at 646.498.8710""",0.67,1.00,0.80,"""meet new faces""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
NYC-based theater and comedy maker. ,"""theater and comedy maker""","""NYC-based theater and comedy maker""",0.80,1.00,0.89,"""NYC-based theater and comedy maker""",0.80,1.00,0.89,NYC-based theater and comedy maker,0.80,1.00,0.89,None detected,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
I am an architect living in NYC and have my own design firm Buro Koray Duman Architects. I live in LES with my husband and our daughter.,"""architect living in NYC"", ""own design firm""","""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects""",0.44,1.00,0.61,"""I am an architect living in NYC and have my own design firm Buro Koray Duman Architects""",0.35,0.86,0.50,"""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects""",0.44,1.00,0.61,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am a dog lover, writer and editor who enjoys hosting visitors.","""dog lover"", ""writer and editor""","""I am a dog lover, writer and editor who enjoys hosting visitors""",0.42,1.00,0.59,"""I am a dog lover, writer and editor who enjoys hosting visitors""",0.42,1.00,0.59,"""I am a dog lover, writer and editor""",0.62,1.00,0.77,"""enjoys hosting visitors""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am a spirit-minded alternative health practitioner. This is my home that I let out when I am away, which I plan on being much of this next year.  If you want to feel like a real New Yorker, this is a great space for that, right in the middle of everything!","""spirit-minded alternative health practitioner""","""I am a spirit-minded alternative health practitioner""",0.57,1.00,0.73,"""I am a spirit-minded alternative health practitioner""",0.57,1.00,0.73,"""I am a spirit-minded alternative health practitioner""",0.57,1.00,0.73,"""If you want to feel like a real New Yorker""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""If you want to feel like a real New Yorker, this is a great space for that""",0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades. I presently work as a freelance interpreter and translator for NYS courts, DA's office, and others in need of language services. I am easy-going, friendly, tidy, respectful of others, responsive to guest's needs, and enthusiastic about meeting new people from all walks of life and all over the world!","""easy-going"", ""enthusiastic about meeting new people""","""I grew up in South Korea"", ""moved to Montreal, Canada"", ""presently work as a freelance interpreter and translator""",0.00,0.00,0.00,"""I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades""",0.06,0.17,0.08,"""I grew up in South Korea"", ""moved to Montreal, Canada"", ""presently work as a freelance interpreter and translator""",0.00,0.00,0.00,"""friendly"", ""respectful of others""","""easy-going, friendly, tidy, respectful of others"", ""enthusiastic about meeting new people""",0.27,0.75,0.40,"""I am easy-going, friendly, tidy, respectful of others, responsive to guest's needs, and enthusiastic about meeting new people from all walks of life and all over the world!""",0.12,0.75,0.21,"""easy-going, friendly, tidy, respectful of others"", ""enthusiastic about meeting new people""",0.27,0.75,0.40,"""responsive to guest's needs""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""enthusiastic about meeting new people from all walks of life""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""Hello and thank you for checking out my sublet/rental!

I work with my family in the international art business.  Pre-pandemic, I used to travel often for shows.

When I lived there, I lived fairly spartan but all the essentials are present.  I hope you find it as comfortable as I did!! :)""","""work with my family in the international art business""","""I work with my family in the international art business"", ""used to travel often for shows""",0.50,0.89,0.64,None detected,0.00,0.00,0.00,"""I work with my family in the international art business"", ""used to travel often for shows""",0.50,0.89,0.64,"""hello and thank you"", ""hope you find it as comfortable as I did""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""I hope you find it as comfortable as I did"", ""I am always reachable for any questions""",0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter. Our apartment is above the one we rent out, so it's easy to handle all of the logistics of having guests, and we really do know the neighborhood well.  We even do a monthly TV show about it called eHarlemTV (eharlemtv.com).  ","""media professionals"", ""dream of buying and renovating a warehouse"", ""monthly TV show""","""My husband and I are media professionals"", ""had a dream of buying and renovating a warehouse to work and live in with our daughter""",0.38,0.67,0.48,"""My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter"", ""We really do know the neighborhood well""",0.24,0.58,0.34,"""My husband and I are media professionals"", ""had a dream of buying and renovating a warehouse"", ""do a monthly TV show about it called eHarlemTV""",0.55,1.00,0.71,"""really do know the neighborhood well""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""easy to handle all the logistics of having guests""","""We really do know the neighborhood well"", ""We even do a monthly TV show about it called eHarlemTV""",0.06,0.11,0.08,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""We even do a monthly TV show about it called eHarlemTV""",0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am a video artist. I have lived in NY for 28 years, and traveled quite a lot.  I have had all good experiences with people happy to stay in my apt in the East Village, and a few return visits.  It is very much my home so i welcome responsible people who are happy to be here.  I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance. ","""video artist"", ""lived in NY for 28 years and traveled quite a lot""","""I am a video artist"", ""It is very much my home so I welcome responsible people who are happy to be here""",0.14,0.23,0.18,"""I am a video artist"", ""It is very much my home so I welcome responsible people who are happy to be here""",0.14,0.23,0.18,"""I am a video artist"", ""have lived in NY for 28 years"", ""enjoy hosting visitors""",0.53,0.62,0.57,"""welcome responsible people who are happy to be here"", ""good experiences with people happy to stay""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""always reachable for any questions"", ""available for extra assistance"", ""friends in the neighborhood""","""I am always reachable for any questions"", ""have friends in the neighborhood who are welcoming and available for any extra assistance""",0.58,0.92,0.71,"""I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance""",0.53,0.83,0.65,"""always reachable for any questions"", ""have friends in the neighborhood who are welcoming and available for any extra assistance""",0.65,0.92,0.76,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
