host_description,Expected_Personal_Charisma,Expected_Friendly_Attitudes,Expected_Service_Assistance,Expected_Socialisation_Sharing,approach1_Personal_Charisma,approach1_Personal_Charisma_Precision,approach1_Personal_Charisma_Recall,approach1_Personal_Charisma_F1,approach1_Friendly_Attitudes,approach1_Friendly_Attitudes_Precision,approach1_Friendly_Attitudes_Recall,approach1_Friendly_Attitudes_F1,approach1_Service_Assistance,approach1_Service_Assistance_Precision,approach1_Service_Assistance_Recall,approach1_Service_Assistance_F1,approach1_Socialisation_Sharing,approach1_Socialisation_Sharing_Precision,approach1_Socialisation_Sharing_Recall,approach1_Socialisation_Sharing_F1,approach2_Personal_Charisma,approach2_Personal_Charisma_Precision,approach2_Personal_Charisma_Recall,approach2_Personal_Charisma_F1,approach2_Friendly_Attitudes,approach2_Friendly_Attitudes_Precision,approach2_Friendly_Attitudes_Recall,approach2_Friendly_Attitudes_F1,approach2_Service_Assistance,approach2_Service_Assistance_Precision,approach2_Service_Assistance_Recall,approach2_Service_Assistance_F1,approach2_Socialisation_Sharing,approach2_Socialisation_Sharing_Precision,approach2_Socialisation_Sharing_Recall,approach2_Socialisation_Sharing_F1,approach3_Personal_Charisma,approach3_Personal_Charisma_Precision,approach3_Personal_Charisma_Recall,approach3_Personal_Charisma_F1,approach3_Friendly_Attitudes,approach3_Friendly_Attitudes_Precision,approach3_Friendly_Attitudes_Recall,approach3_Friendly_Attitudes_F1,approach3_Service_Assistance,approach3_Service_Assistance_Precision,approach3_Service_Assistance_Recall,approach3_Service_Assistance_F1,approach3_Socialisation_Sharing,approach3_Socialisation_Sharing_Precision,approach3_Socialisation_Sharing_Recall,approach3_Socialisation_Sharing_F1,approach4_Personal_Charisma,approach4_Personal_Charisma_Precision,approach4_Personal_Charisma_Recall,approach4_Personal_Charisma_F1,approach4_Friendly_Attitudes,approach4_Friendly_Attitudes_Precision,approach4_Friendly_Attitudes_Recall,approach4_Friendly_Attitudes_F1,approach4_Service_Assistance,approach4_Service_Assistance_Precision,approach4_Service_Assistance_Recall,approach4_Service_Assistance_F1,approach4_Socialisation_Sharing,approach4_Socialisation_Sharing_Precision,approach4_Socialisation_Sharing_Recall,approach4_Socialisation_Sharing_F1,approach5_Personal_Charisma,approach5_Personal_Charisma_Precision,approach5_Personal_Charisma_Recall,approach5_Personal_Charisma_F1,approach5_Friendly_Attitudes,approach5_Friendly_Attitudes_Precision,approach5_Friendly_Attitudes_Recall,approach5_Friendly_Attitudes_F1,approach5_Service_Assistance,approach5_Service_Assistance_Precision,approach5_Service_Assistance_Recall,approach5_Service_Assistance_F1,approach5_Socialisation_Sharing,approach5_Socialisation_Sharing_Precision,approach5_Socialisation_Sharing_Recall,approach5_Socialisation_Sharing_F1
"""I have been a New Yorker for a long time and Love this city ! I am an author and  health and fitness expert  and do personal training as well as health consultations and lectures. I have many interests from music to art and literature. I know  my  city very well and  am happy to make suggestions and recommendations so my guests will fully enjoy their New York Experience. I guarantee you will thoroughly enjoy your stay here !""","""love this city"", ""author and health and fitness expert"", ""personal training"", ""health consultations and lectures"", ""many interests from music to art and literature""","""guarantee you will thoroughly enjoy your stay""","""happy to make suggestions and recommendations""",None detected,"""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""",1.0,0.6,0.7499999999999999,"""am happy to make suggestions and recommendations"", ""I guarantee you will thoroughly enjoy your stay here""",0.5,1.0,0.6666666666666666,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""",1.0,0.6,0.7499999999999999,"""I am happy to make suggestions and recommendations"", ""I guarantee you will thoroughly enjoy your stay here!""",0.5,1.0,0.6666666666666666,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""",1.0,0.6,0.7499999999999999,"""happy to make suggestions and recommendations"", ""guarantee you will thoroughly enjoy your stay here""",0.5,1.0,0.6666666666666666,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I have been a New Yorker for a long time"", ""I am an author and  health and fitness expert"", ""do personal training as well as health consultations and lectures"", ""I have many interests from music to art and literature""",0.7222222222222222,0.8666666666666667,0.7878787878787877,"""I guarantee you will thoroughly enjoy your stay here""",1.0,1.0,1.0,"""am happy to make suggestions and recommendations so my guests will fully enjoy their New York Experience""",0.4,1.0,0.5714285714285715,None detected,1.0,1.0,1.0,"[""I have been a New Yorker for a long time"", ""Love this city"", ""I am an author and  health and fitness expert"", ""do personal training as well as health consultations and lectures"", ""I have many interests from music to art and literature"", ""I know  my  city very well""]",0.7142857142857143,1.0,0.8333333333333333,"[""am happy to make suggestions and recommendations"", ""I guarantee you will thoroughly enjoy your stay here""]",0.5,1.0,0.6666666666666666,"[""am happy to make suggestions and recommendations""]",1.0,0.75,0.8571428571428571,None detected,1.0,1.0,1.0
"""A New Yorker since 2000! My passion is creating beautiful, unique spaces where unforgettable memories are made. It's my pleasure to host people from around the world and meet new faces. Welcome travelers!
I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher. I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments.
Any questions, please text or call Jennifer at 646.498.8710.""","""passion for creating beautiful, unique spaces"", ""Sound Therapy Practitioner"", ""Kundalini Yoga & Meditation teacher"", ""work with energy and sound for relaxation and healing""","""pleasure to host people from around the world"", ""welcome travelers""","""any questions, please text or call""","""meet new faces""","""My passion is creating beautiful, unique spaces"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",1.0,0.75,0.8571428571428571,None detected,1.0,0.0,0.0,"""Any questions, please text or call Jennifer at 646.498.8710""",0.8,1.0,0.888888888888889,None detected,1.0,0.0,0.0,"""My passion is creating beautiful, unique spaces where unforgettable memories are made"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",0.8,0.75,0.7741935483870969,None detected,1.0,0.0,0.0,"""Any questions, please text or call Jennifer at 646.498.8710""",0.8,1.0,0.888888888888889,None detected,1.0,0.0,0.0,"""My passion is creating beautiful, unique spaces"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",1.0,0.75,0.8571428571428571,None detected,1.0,0.0,0.0,"""Any questions, please text or call Jennifer at 646.498.8710""",0.8,1.0,0.888888888888889,None detected,1.0,0.0,0.0,"""A New Yorker since 2000"", ""My passion is creating beautiful, unique spaces where unforgettable memories are made"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher"", ""I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments""",0.48484848484848486,1.0,0.653061224489796,"""It's my pleasure to host people from around the world and meet new faces"", ""Welcome travelers""",0.7,1.0,0.8235294117647058,"""Any questions, please text or call Jennifer at 646.498.8710""",0.8,1.0,0.888888888888889,None detected,1.0,0.0,0.0,"[""A New Yorker since 2000"", ""My passion is creating beautiful, unique spaces where unforgettable memories are made"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher"", ""I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments""]",0.5,1.0,0.6666666666666666,"[""It's my pleasure to host people from around the world"", ""Welcome travelers""]",1.0,0.8571428571428571,0.923076923076923,"[""Any questions, please text or call Jennifer at 646.498.8710""]",0.8,1.0,0.888888888888889,"[""meet new faces""]",1.0,0.3333333333333333,0.5
NYC-based theater and comedy maker. ,"""theater and comedy maker""",None detected,None detected,None detected,"""NYC-based theater and comedy maker""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""NYC-based theater and comedy maker""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,NYC-based theater and comedy maker,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""NYC-based theater and comedy maker""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"[""NYC-based theater and comedy maker""]",1.0,0.6666666666666666,0.8,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0
I am an architect living in NYC and have my own design firm Buro Koray Duman Architects. I live in LES with my husband and our daughter.,"""architect living in NYC"", ""own design firm""",,,,"""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects""",0.5555555555555556,1.0,0.7142857142857143,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am an architect living in NYC and have my own design firm Buro Koray Duman Architects""",0.5555555555555556,1.0,0.7142857142857143,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects""",0.5555555555555556,1.0,0.7142857142857143,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects"", ""I live in LES with my husband and our daughter""",0.38461538461538464,1.0,0.5555555555555556,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"[""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects"", ""I live in LES with my husband and our daughter""]",0.4166666666666667,1.0,0.5882352941176471,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0
"I am a dog lover, writer and editor who enjoys hosting visitors.","""dog lover"", ""writer and editor""","""enjoys hosting visitors""",,,"""I am a dog lover, writer and editor who enjoys hosting visitors""",0.5714285714285714,1.0,0.7272727272727273,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am a dog lover, writer and editor who enjoys hosting visitors""",0.5714285714285714,1.0,0.7272727272727273,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am a dog lover, writer and editor""",1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am a dog lover, writer and editor""",1.0,1.0,1.0,"""enjoys hosting visitors""",1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"[""I am a dog lover, writer and editor""]",1.0,0.75,0.8571428571428571,"[""enjoys hosting visitors""]",1.0,0.3333333333333333,0.5,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0
"I am a spirit-minded alternative health practitioner. This is my home that I let out when I am away, which I plan on being much of this next year.  If you want to feel like a real New Yorker, this is a great space for that, right in the middle of everything!","""spirit-minded alternative health practitioner""","""If you want to feel like a real New Yorker""",,,"""I am a spirit-minded alternative health practitioner""",1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am a spirit-minded alternative health practitioner""",1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""If you want to feel like a real New Yorker, this is a great space for that""",0.0,1.0,0.0,"""I am a spirit-minded alternative health practitioner""",1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I am a spirit-minded alternative health practitioner"", ""This is my home that I let out when I am away, which I plan on being much of this next year""",0.3,1.0,0.4615384615384615,"""If you want to feel like a real New Yorker, this is a great space for that""",0.75,1.0,0.8571428571428571,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,I am a spirit-minded alternative health practitioner,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0
"I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades. I presently work as a freelance interpreter and translator for NYS courts, DA's office, and others in need of language services. I am easy-going, friendly, tidy, respectful of others, responsive to guest's needs, and enthusiastic about meeting new people from all walks of life and all over the world!","""easy-going"", ""enthusiastic about meeting new people""","""friendly"", ""respectful of others""","""responsive to guest's needs""","""enthusiastic about meeting new people from all walks of life""","""I grew up in South Korea"", ""moved to Montreal, Canada"", ""presently work as a freelance interpreter and translator""",0.0,0.0,0.0,"""easy-going, friendly, tidy, respectful of others"", ""enthusiastic about meeting new people""",0.375,1.0,0.5454545454545454,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades""",0.1111111111111111,0.25,0.15384615384615383,"""I am easy-going, friendly, tidy, respectful of others, responsive to guest's needs, and enthusiastic about meeting new people from all walks of life and all over the world!""",0.25,1.0,0.4,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I grew up in South Korea"", ""moved to Montreal, Canada"", ""presently work as a freelance interpreter and translator""",0.0,0.0,0.0,"""easy-going, friendly, tidy, respectful of others"", ""enthusiastic about meeting new people""",0.375,1.0,0.5454545454545454,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades"", ""I presently work as a freelance interpreter and translator for NYS courts, DA's office, and others in need of language services"", ""I am easy-going, friendly, tidy, respectful of others""",0.041666666666666664,0.25,0.07142857142857142,"""responsive to guest's needs""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,"""enthusiastic about meeting new people from all walks of life and all over the world""",0.8571428571428571,1.0,0.923076923076923,"I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades, I presently work as a freelance interpreter and translator for NYS courts, DA's office, and others in need of language services, I am easy-going, friendly, tidy, respectful of others",0.041666666666666664,0.25,0.07142857142857142,responsive to guest's needs,0.0,0.0,0.0,None detected,1.0,0.0,0.0,enthusiastic about meeting new people from all walks of life and all over the world,0.8571428571428571,1.0,0.923076923076923
"""Hello and thank you for checking out my sublet/rental!

I work with my family in the international art business.  Pre-pandemic, I used to travel often for shows.

When I lived there, I lived fairly spartan but all the essentials are present.  I hope you find it as comfortable as I did!! :)""","""work with my family in the international art business""","""hello and thank you"", ""hope you find it as comfortable as I did""",,,"""I work with my family in the international art business"", ""used to travel often for shows""",0.5555555555555556,1.0,0.7142857142857143,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""I hope you find it as comfortable as I did"", ""I am always reachable for any questions""",0.0,1.0,0.0,None detected,1.0,1.0,1.0,"""I work with my family in the international art business"", ""used to travel often for shows""",0.5555555555555556,1.0,0.7142857142857143,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,"""I work with my family in the international art business"", ""When I lived there, I lived fairly spartan but all the essentials are present""",0.5,1.0,0.6666666666666666,"""I hope you find it as comfortable as I did""",1.0,0.6,0.7499999999999999,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0,I work with my family in the international art business,1.0,1.0,1.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,None detected,1.0,1.0,1.0
"My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter. Our apartment is above the one we rent out, so it's easy to handle all of the logistics of having guests, and we really do know the neighborhood well.  We even do a monthly TV show about it called eHarlemTV (eharlemtv.com).  ","""media professionals"", ""dream of buying and renovating a warehouse"", ""monthly TV show""","""really do know the neighborhood well""","""easy to handle all the logistics of having guests""",,"""My husband and I are media professionals"", ""had a dream of buying and renovating a warehouse to work and live in with our daughter""",0.6,0.6666666666666666,0.631578947368421,None detected,1.0,0.0,0.0,"""We really do know the neighborhood well"", ""We even do a monthly TV show about it called eHarlemTV""",0.0,0.0,0.0,None detected,1.0,1.0,1.0,"""My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter"", ""We really do know the neighborhood well""",0.42857142857142855,0.6666666666666666,0.5217391304347826,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,"""We even do a monthly TV show about it called eHarlemTV""",0.0,1.0,0.0,"""My husband and I are media professionals"", ""had a dream of buying and renovating a warehouse"", ""do a monthly TV show about it called eHarlemTV""",0.75,1.0,0.8571428571428571,None detected,1.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter"", ""Our apartment is above the one we rent out""",0.46153846153846156,0.6666666666666666,0.5454545454545455,None detected,1.0,0.0,0.0,"""it's easy to handle all of the logistics of having guests""",1.0,1.0,1.0,"""we really do know the neighborhood well"", ""We even do a monthly TV show about it called eHarlemTV (eharlemtv.com)""",0.0,1.0,0.0,My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter,0.6,0.6666666666666666,0.631578947368421,None detected,1.0,0.0,0.0,it's easy to handle all of the logistics of having guests,1.0,1.0,1.0,we really do know the neighborhood well,0.0,1.0,0.0
"I am a video artist. I have lived in NY for 28 years, and traveled quite a lot.  I have had all good experiences with people happy to stay in my apt in the East Village, and a few return visits.  It is very much my home so i welcome responsible people who are happy to be here.  I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance. ","""video artist"", ""lived in NY for 28 years and traveled quite a lot""","""welcome responsible people who are happy to be here"", ""good experiences with people happy to stay""","""always reachable for any questions"", ""available for extra assistance"", ""friends in the neighborhood""",,"""I am a video artist"", ""It is very much my home so I welcome responsible people who are happy to be here""",0.25,0.2222222222222222,0.23529411764705882,None detected,1.0,0.0,0.0,"""I am always reachable for any questions"", ""have friends in the neighborhood who are welcoming and available for any extra assistance""",0.8888888888888888,1.0,0.9411764705882353,None detected,1.0,1.0,1.0,"""I am a video artist"", ""It is very much my home so I welcome responsible people who are happy to be here""",0.25,0.2222222222222222,0.23529411764705882,None detected,1.0,0.0,0.0,"""I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance""",0.8888888888888888,1.0,0.9411764705882353,None detected,1.0,1.0,1.0,"""I am a video artist"", ""have lived in NY for 28 years"", ""enjoy hosting visitors""",0.6666666666666666,0.6666666666666666,0.6666666666666666,None detected,1.0,0.0,0.0,"""always reachable for any questions"", ""have friends in the neighborhood who are welcoming and available for any extra assistance""",0.8888888888888888,1.0,0.9411764705882353,None detected,1.0,1.0,1.0,"""I am a video artist"", ""I have lived in NY for 28 years, and traveled quite a lot"", ""It is very much my home""",0.8181818181818182,1.0,0.9,"""i welcome responsible people who are happy to be here""",1.0,0.5714285714285714,0.7272727272727273,"""I am always reachable for any questions"", ""have friends in the neighborhood who are welcoming and available for any extra assistance""",0.8888888888888888,1.0,0.9411764705882353,"""I have had all good experiences with people happy to stay in my apt in the East Village, and a few return visits""",0.0,1.0,0.0,"I am a video artist, I have lived in NY for 28 years, and traveled quite a lot",1.0,1.0,1.0,I welcome responsible people who are happy to be here,1.0,0.5714285714285714,0.7272727272727273,"I am always reachable for any questions, have friends in the neighborhood who are welcoming and available for any extra assistance",0.8888888888888888,1.0,0.9411764705882353,None detected,1.0,1.0,1.0
"""As a traveler myself, I strive to be a great host. A great host can be the difference between a good trip and a great trip.
I am a former restaurant owner and an active real estate professional and I strive to be the perfect host. All my guests deserve it.""","""former restaurant owner"", ""active real estate professional""","""all my guests deserve it""","""strive to be a great host"", ""perfect host""",,"""I am a former restaurant owner"", ""an active real estate professional""",1.0,1.0,1.0,"""I strive to be the perfect host""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""I am a former restaurant owner and an active real estate professional""",1.0,1.0,1.0,None detected,1.0,0.0,0.0,"""I strive to be the perfect host""",1.0,0.75,0.8571428571428571,None detected,1.0,1.0,1.0,"""I am a former restaurant owner"", ""an active real estate professional""",1.0,1.0,1.0,"""strive to be a great host"", ""strive to be the perfect host""",0.0,0.0,0.0,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0,"""As a traveler myself"", ""I am a former restaurant owner and an active real estate professional""",0.875,1.0,0.9333333333333333,"""I strive to be a great host"", ""All my guests deserve it""",0.4,1.0,0.5714285714285715,"""I strive to be the perfect host""",1.0,0.75,0.8571428571428571,None detected,1.0,1.0,1.0,"As a traveler myself, I am a former restaurant owner and an active real estate professional",0.875,1.0,0.9333333333333333,"I strive to be a great host, All my guests deserve it",0.4,1.0,0.5714285714285715,None detected,1.0,0.0,0.0,None detected,1.0,1.0,1.0
